,id,groups,age,healthy_eating,active_lifestyle,Salary,purchase_value
293,1293,O,41,9,6,4829,1974
294,1294,AB,37,8,5,4445.1,2180
295,1295,B,52,2,10,1877.7,2139
296,1296,A,52,4,4,2142.8,2154
297,1297,A,44,4,1,2907.3,2085
298,1298,A,33,1,9,2261.6,2125
299,1299,O,43,4,8,1122,1836
300,1300,O,19,5,4,2781.9,2252
301,1301,O,21,5,4,2781.9,1914
302,1302,AB,37,4,5,1887.6,2181
303,1303,B,46,3,7,737,2106
304,1304,A,50,4,7,1377.2,2165
305,1305,A,37,3,6,992.2,1737
306,1306,A,30,5,8,1761.1,1714
307,1307,O,37,4,5,1887.6,1750
308,1308,O,49,6,4,3421,1927
309,1309,O,19,6,7,2655.4,1790
310,1310,AB,42,9,7,4573.8,2119
311,1311,B,62,3,10,1238.6,2071
312,1312,A,42,8,3,4955.5,2324
313,1313,A,21,5,9,1505.9,2098
314,1314,A,25,1,4,985.6,2286
315,1315,O,33,3,3,1757.8,2107
316,1316,O,20,4,3,2396.9,1791
317,1317,O,59,7,7,3295.6,2282
318,1318,AB,62,4,8,1122,1924
319,1319,B,22,5,3,3037.1,2187
320,1320,A,40,8,9,3424.3,2283
321,1321,A,50,7,6,3550.8,1829
322,1322,A,62,3,8,728.2,2312
323,1323,O,33,5,9,1505.9,2315
324,1324,O,23,8,8,3679.5,2293
325,1325,O,51,5,7,2016.3,1992
326,1326,AB,36,5,9,1505.9,1801
327,1327,B,61,4,5,1887.6,2128
328,1328,A,60,4,7,1377.2,1910
329,1329,A,56,2,7,1112.1,2234
330,1330,A,58,6,6,2910.6,2061
331,1331,O,20,0,5,1881,2330
332,1332,O,60,6,4,3421,2027
333,1333,O,46,4,7,1377.2,1922
334,1334,AB,55,4,7,1377.2,2133
335,1335,B,61,9,5,5084.2,1947
336,1336,A,28,6,5,3165.8,1752
337,1337,A,44,8,4,4700.3,1747
338,1338,A,54,5,7,2016.3,2117
339,1339,O,35,10,9,4703.6,2031
340,1340,O,62,0,5,1881,2268
341,1341,O,28,7,4,4060.1,1774
342,1342,AB,42,4,7,1377.2,1968
343,1343,B,53,2,5,608.3,1926
344,1344,A,25,5,7,2016.3,1859
345,1345,A,57,5,3,3037.1,2329
346,1346,A,60,5,8,1761.1,1839
347,1347,O,34,3,5,1247.4,2167
348,1348,O,19,5,6,2271.5,1811
349,1349,O,49,7,5,3806,1798
350,1350,AB,35,5,6,2271.5,2247
351,1351,B,55,5,0,3802.7,1725
352,1352,A,63,3,5,1247.4,1958
353,1353,A,46,7,7,3295.6,1776
354,1354,A,55,5,6,2271.5,1893
355,1355,O,29,3,5,1247.4,1784
356,1356,O,28,4,4,2142.8,1793
357,1357,O,46,1,7,1751.2,2307
358,1358,AB,58,7,6,3550.8,1741
359,1359,B,28,3,6,992.2,1953
360,1360,A,31,4,7,1377.2,1770
361,1361,A,56,5,3,3037.1,1713
362,1362,A,43,5,10,1250.7,1713
363,1363,O,26,4,3,2396.9,2156
364,1364,O,46,1,4,985.6,1719
365,1365,O,41,5,7,2016.3,1949
366,1366,AB,50,5,7,2016.3,1955
367,1367,B,58,4,3,2396.9,1720
368,1368,A,56,5,5,2526.7,2008
369,1369,A,49,7,6,3550.8,2105
370,1370,A,20,8,6,4189.9,2178
371,1371,O,31,2,4,863.5,1874
372,1372,O,61,5,10,1250.7,2234
373,1373,O,54,6,5,3165.8,2018
374,1374,AB,23,7,8,3040.4,1879
375,1375,B,53,5,7,2016.3,1785
376,1376,A,62,3,6,992.2,1733
377,1377,A,47,3,8,728.2,1727
378,1378,A,43,2,3,1118.7,2023
379,1379,O,30,4,5,1887.6,2049
380,1380,O,36,7,3,4315.3,2188
381,1381,O,48,6,5,3165.8,2030
382,1382,AB,61,6,7,2655.4,2288
383,1383,B,45,3,9,983.4,1747
384,1384,A,33,4,7,1377.2,2026
385,1385,A,31,5,7,2016.3,1969
386,1386,A,20,3,5,1247.4,2307
387,1387,O,55,5,5,2526.7,2143
388,1388,O,24,6,5,3165.8,1947
389,1389,O,46,6,5,3165.8,1952
390,1390,AB,52,7,1,4825.7,1718
391,1391,B,56,3,7,737,2015
392,1392,A,62,4,7,1377.2,2198
393,1393,A,58,2,6,856.9,2074
394,1394,A,42,6,7,2655.4,1952
395,1395,O,53,7,3,4315.3,2010
396,1396,O,18,8,9,3424.3,2116
397,1397,O,62,8,7,3934.7,2306
398,1398,AB,38,6,4,3421,1879
399,1399,B,60,3,5,1247.4,2037
400,1400,A,49,7,8,3040.4,2099
401,1401,A,18,5,8,1761.1,2031
402,1402,A,28,6,5,3165.8,2232
403,1403,O,22,6,7,2655.4,1866
404,1404,O,27,7,5,3806,1797
405,1405,O,42,3,5,1247.4,1952
406,1406,AB,31,6,5,3165.8,2259
407,1407,B,19,6,2,3931.4,2281
408,1408,A,25,2,5,608.3,2160
409,1409,A,18,4,8,1122,1713
410,1410,A,34,3,3,1757.8,1911
411,1411,O,44,6,8,2400.2,1900
412,1412,O,42,7,3,4315.3,2147
413,1413,O,46,6,8,2400.2,1924
414,1414,AB,35,5,8,1761.1,1770
415,1415,B,53,1,10,2516.8,1857
416,1416,A,30,2,5,608.3,2074
417,1417,A,60,4,3,2396.9,2218
418,1418,A,22,3,3,1757.8,1839
419,1419,O,58,6,9,2145,1998
420,1420,O,47,5,4,2781.9,2260
421,1421,O,33,3,6,992.2,1802
422,1422,AB,64,4,7,1377.2,2149
423,1423,B,47,2,5,608.3,2156
424,1424,A,56,3,0,2523.4,1925
425,1425,A,30,3,6,992.2,1868
426,1426,A,43,8,8,3679.5,2275
427,1427,O,32,7,4,4060.1,2309
428,1428,O,31,5,6,2271.5,2225
429,1429,O,48,6,7,2655.4,2295
430,1430,AB,23,4,3,2396.9,1813
431,1431,B,21,4,6,1632.4,2117
432,1432,A,51,4,9,866.8,1798
433,1433,A,18,6,4,3421,1729
434,1434,A,34,5,4,2781.9,2176
435,1435,O,41,7,5,3806,2180
436,1436,O,24,3,6,992.2,1719
437,1437,O,51,6,7,2655.4,2130
438,1438,AB,56,4,5,1887.6,1734
439,1439,B,56,4,7,1377.2,2178
440,1440,A,46,3,5,1247.4,2034
441,1441,A,24,2,2,1373.9,2236
442,1442,A,63,5,2,3292.3,2021
443,1443,O,64,6,8,2400.2,1880
444,1444,O,45,1,8,2006.4,1919
445,1445,O,57,4,5,1887.6,1700
446,1446,AB,36,6,7,2655.4,2117
447,1447,B,54,3,4,1502.6,2067
448,1448,A,61,2,5,608.3,1774
449,1449,A,50,6,7,2655.4,2289
450,1450,A,28,6,7,2655.4,2099
451,1451,O,62,7,3,4315.3,2267
452,1452,O,24,5,7,2016.3,2296
453,1453,O,53,6,3,3676.2,1997
454,1454,AB,30,2,3,1118.7,2272
455,1455,B,29,5,8,1761.1,2184
456,1456,A,18,8,9,3424.3,2167
457,1457,A,58,2,1,1629.1,2325
458,1458,A,55,0,4,1625.8,1901
459,1459,O,32,6,3,3676.2,1757
460,1460,O,60,5,9,1505.9,1843
461,1461,O,22,3,6,992.2,1918
462,1462,AB,27,4,5,1887.6,1985
463,1463,B,39,6,7,2655.4,2322
464,1464,A,23,2,7,1112.1,1897
465,1465,A,21,6,6,2910.6,2152
466,1466,A,51,7,6,3550.8,1936
467,1467,O,34,6,5,3165.8,2180
468,1468,O,35,2,5,608.3,1961
469,1469,O,54,5,5,2526.7,2079
470,1470,AB,63,3,7,737,1795
471,1471,B,39,3,5,1247.4,2278
472,1472,A,19,7,6,3550.8,1875
473,1473,A,59,5,7,2016.3,1838
474,1474,A,38,5,5,2526.7,1737
475,1475,O,18,8,6,4189.9,2062
476,1476,O,49,1,7,1751.2,1918
477,1477,O,26,8,6,4189.9,1863
478,1478,AB,56,6,4,3421,1787
479,1479,B,52,3,5,1247.4,1849
480,1480,A,23,4,4,2142.8,1979
481,1481,A,48,6,6,2910.6,2276
482,1482,A,21,8,5,4445.1,2149
483,1483,O,45,3,6,992.2,1754
484,1484,O,32,6,2,3931.4,1833
485,1485,O,19,4,3,2396.9,2294
486,1486,AB,31,2,4,863.5,2027
487,1487,B,58,3,1,2268.2,1719
488,1488,A,35,8,8,3679.5,2114
489,1489,A,34,3,4,1502.6,2291
490,1490,A,24,7,1,4825.7,2227
491,1491,O,54,8,6,4189.9,2316
492,1492,O,44,6,9,2145,2094
493,1493,O,59,3,6,992.2,2089
494,1494,AB,61,7,4,4060.1,2024
495,1495,B,33,7,7,3295.6,1978
496,1496,A,47,4,2,2652.1,1794
497,1497,A,50,4,7,1377.2,1710
498,1498,A,35,6,8,2400.2,2305
499,1499,O,62,6,8,2400.2,1869
500,1500,O,38,7,3,4315.3,2133
501,1501,O,45,7,6,3550.8,2303
502,1502,AB,21,7,6,3550.8,2219
503,1503,B,29,7,6,3550.8,2077
504,1504,A,42,5,4,2781.9,1773
505,1505,A,47,5,5,2526.7,2183
506,1506,A,53,2,8,1367.3,1830
507,1507,O,42,4,2,2652.1,1771
508,1508,O,64,3,7,737,1830
509,1509,O,29,4,1,2907.3,2117
510,1510,AB,22,8,8,3679.5,2199
511,1511,B,23,4,3,2396.9,2001
512,1512,A,48,4,6,1632.4,2051
513,1513,A,37,0,4,1625.8,2179
514,1514,A,30,6,0,4441.8,2238
515,1515,O,23,4,2,2652.1,2008
516,1516,O,32,8,8,3679.5,1945
517,1517,O,34,3,7,737,2251
518,1518,AB,41,8,8,3679.5,1797
519,1519,B,21,4,5,1887.6,1724
520,1520,A,57,7,6,3550.8,2124
521,1521,A,42,7,4,4060.1,2173
522,1522,A,51,2,4,863.5,2100
523,1523,O,43,8,7,3934.7,2099
524,1524,O,47,4,5,1887.6,2213
525,1525,O,33,9,6,4829,2112
526,1526,AB,40,10,6,5469.2,1937
527,1527,B,43,3,7,737,2280
528,1528,A,62,3,6,992.2,2039
529,1529,A,22,2,9,1622.5,1733
530,1530,A,19,5,6,2271.5,1858
531,1531,O,34,7,7,3295.6,2308
532,1532,O,30,7,3,4315.3,1852
533,1533,O,19,5,4,2781.9,2044
534,1534,AB,63,5,10,1250.7,2055
535,1535,B,24,7,4,4060.1,1832
536,1536,A,48,4,7,1377.2,2260
537,1537,A,53,7,5,3806,2128
538,1538,A,53,8,7,3934.7,2098
539,1539,O,58,5,3,3037.1,1907
540,1540,O,55,1,5,1240.8,2065
541,1541,O,50,4,8,1122,2217
542,1542,AB,37,4,8,1122,1966
543,1543,B,27,6,6,2910.6,1718
544,1544,A,51,4,7,1377.2,2120
545,1545,A,27,5,5,2526.7,1890
546,1546,A,22,3,5,1247.4,1771
547,1547,O,18,8,7,3934.7,1757
548,1548,O,44,5,9,1505.9,2040
549,1549,O,62,6,6,2910.6,1754
550,1550,AB,49,4,6,1632.4,2282
551,1551,B,43,5,4,2781.9,1727
552,1552,A,22,6,6,2910.6,2218
553,1553,A,27,3,5,1247.4,1849
554,1554,A,22,3,10,1238.6,2030
555,1555,O,55,4,7,1377.2,2208
556,1556,O,27,3,4,1502.6,1716
557,1557,O,30,5,5,2526.7,2119
558,1558,AB,46,6,8,2400.2,2199
559,1559,B,18,6,6,2910.6,1717
560,1560,A,57,8,5,4445.1,2232
561,1561,A,29,5,6,2271.5,2279
562,1562,A,19,6,1,4186.6,1707
563,1563,O,35,5,6,2271.5,1831
564,1564,O,44,4,7,1377.2,1783
565,1565,O,38,5,4,2781.9,2045
566,1566,AB,37,6,10,1889.8,1941
567,1567,B,39,8,6,4189.9,1965
568,1568,A,47,4,5,1887.6,1767
569,1569,A,42,6,2,3931.4,1844
570,1570,A,52,5,5,2526.7,1816
571,1571,O,28,3,3,1757.8,2102
572,1572,O,33,0,7,2391.4,1896
573,1573,O,20,5,5,2526.7,1740
574,1574,AB,23,2,5,608.3,1781
575,1575,B,21,3,3,1757.8,2028
576,1576,A,33,6,5,3165.8,1994
577,1577,A,28,4,6,1632.4,1717
578,1578,A,18,2,3,1118.7,1916
579,1579,O,54,4,9,866.8,1807
580,1580,O,50,6,5,3165.8,2123
581,1581,O,50,5,1,3547.5,1929
582,1582,AB,48,4,8,1122,2068
583,1583,B,34,6,5,3165.8,1796
584,1584,A,37,8,7,3934.7,1776
585,1585,A,27,4,8,1122,2116
586,1586,A,22,8,10,3169.1,1818
587,1587,O,51,4,9,866.8,2116
588,1588,O,26,4,5,1887.6,1888
589,1589,O,30,8,3,4955.5,1838
590,1590,AB,45,6,5,3165.8,2276
591,1591,B,58,2,6,856.9,1786
592,1592,A,55,4,4,2142.8,1941
593,1593,A,24,7,6,3550.8,1730
594,1594,A,62,7,6,3550.8,1878
595,1595,O,45,5,6,2271.5,1786
596,1596,O,51,7,6,3550.8,1912
597,1597,O,49,5,7,2016.3,2109
598,1598,AB,64,5,6,2271.5,2114
599,1599,B,55,4,4,2142.8,1737
600,1600,A,20,4,6,1632.4,2062
601,1601,A,20,4,6,1632.4,2171
602,1602,A,31,5,6,2271.5,1873
603,1603,O,23,7,6,3550.8,1933
604,1604,O,31,5,6,2271.5,1793
605,1605,O,28,1,5,1240.8,2181
606,1606,AB,51,0,7,2391.4,1839
607,1607,B,44,9,1,6105,1974
608,1608,A,30,3,4,1502.6,1801
609,1609,A,63,8,7,3934.7,1922
610,1610,A,45,3,6,992.2,1707
611,1611,O,43,2,5,608.3,2149
612,1612,O,53,2,9,1622.5,1874
613,1613,O,42,3,5,1247.4,2298
614,1614,AB,62,6,0,4441.8,2228
615,1615,B,54,5,8,1761.1,1743
616,1616,A,46,4,7,1377.2,1801
617,1617,A,25,4,7,1377.2,1763
618,1618,A,62,5,9,1505.9,1849
619,1619,O,30,4,8,1122,1715
620,1620,O,32,4,5,1887.6,1758
621,1621,O,30,4,6,1632.4,2099
622,1622,AB,51,5,7,2016.3,1957
623,1623,B,46,3,5,1247.4,2265
624,1624,A,34,4,2,2652.1,2111
625,1625,A,37,0,8,2646.6,1758
626,1626,A,59,3,3,1757.8,2221
627,1627,O,51,2,7,1112.1,2129
628,1628,O,29,3,5,1247.4,2189
629,1629,O,38,4,4,2142.8,2066
630,1630,AB,57,4,0,3162.5,1975
631,1631,B,38,7,3,4315.3,2288
632,1632,A,31,4,5,1887.6,1803
633,1633,A,31,7,7,3295.6,1837
634,1634,A,32,8,5,4445.1,1785
635,1635,O,34,2,8,1367.3,2304
636,1636,O,41,7,6,3550.8,1924
637,1637,O,54,8,9,3424.3,1807
638,1638,AB,58,5,9,1505.9,1864
639,1639,B,19,2,4,863.5,2116
640,1640,A,54,0,5,1881,2060
641,1641,A,44,4,8,1122,2116
642,1642,A,42,6,6,2910.6,2281
643,1643,O,37,6,7,2655.4,2163
644,1644,O,42,2,7,1112.1,1765
645,1645,O,29,6,6,2910.6,2076
646,1646,AB,41,7,7,3295.6,1731
647,1647,B,40,1,5,1240.8,1789
648,1648,A,43,8,4,4700.3,1924
649,1649,A,58,4,3,2396.9,2123
650,1650,A,60,2,4,863.5,1810
651,1651,O,30,0,6,2136.2,1862
652,1652,O,62,7,3,4315.3,1830
653,1653,O,55,3,6,992.2,2150
654,1654,AB,19,4,7,1377.2,2038
655,1655,B,52,4,2,2652.1,2122
656,1656,A,40,6,0,4441.8,2242
657,1657,A,20,2,6,856.9,1853
658,1658,A,26,5,4,2781.9,2244
659,1659,O,29,6,3,3676.2,2190
660,1660,O,51,7,7,3295.6,1704
661,1661,O,38,4,1,2907.3,2213
662,1662,AB,59,9,5,5084.2,2175
663,1663,B,55,4,4,2142.8,2267
664,1664,A,48,6,7,2655.4,1945
665,1665,A,53,2,4,863.5,2149
666,1666,A,57,5,5,2526.7,2225
667,1667,O,25,8,6,4189.9,1876
668,1668,O,28,3,6,992.2,2308
